Org District,AC Name,Org Mandal,Local Body
Thiruvananthapuram City,Nemom,Nemom,Mudavanmukal
Thiruvananthapuram City,Nemom,Nemom,Estate
Thiruvananthapuram City,Nemom,Nemom,Nemom
Thiruvananthapuram City,Nemom,Nemom,Ponnumangalam
Thiruvananthapuram City,Nemom,Nemom,Melamangod
Thiruvananthapuram City,Nemom,Nemom,Pappanamcode
Thiruvananthapuram City,Nemom,Nemom,Karamana
Thiruvananthapuram City,Nemom,Nemom,Karumam
Thiruvananthapuram City,Nemom,Nemom,Punchakkari
Thiruvananthapuram City,Nemom,Kovalam,Venganur
Thiruvananthapuram City,Nemom,Kovalam,Port Ward
Thiruvananthapuram City,Nemom,Kovalam,Vizhinjam
Thiruvananthapuram City,Nemom,Kovalam,Harbor
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Poonthura
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Putthanpalli
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Beemapalli
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Valiathura
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Vallakkadavu
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Sreevaraham
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Pettah
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Chakkai
Thiruvananthapuram City,Thiruvananthapuram,Thiruvananthapuram West,Vettukadu
