Org District,AC Name,Org Mandal,Local Body
Alappuzha North,Aroor,Aroor,Ezhupunna gram panchayat
Alappuzha North,Aroor,Aroor,Aroor
Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath
Malappuram Central,Kondotty,Vazhakkad,Vazhayoor
Alappuzha North,Aroor,Panavally,Panavalli grama panchayat
Alappuzha North,Aroor,Panavally,Chennam Pallipuram grama panchayat
Alappuzha North,Aroor,Panavally,Arukutty
Kottayam East,Poonjar,Poonjar,Erattupetta
Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat
Kottayam West,Pala,Pala,Pala
Kottayam West,Vaikom,Vaikom,Vaikom
Kottayam West,Kottayam,Kottayam,Kottayam
Kottayam East,Changanassery,Changanassery,Changanassery
Kottayam East,Puthuppally,Ayarkunnam,Ayarkunnam
Kottayam West,Kottayam,Panachikadu,Vijayapuram Gramapanchayath
Kottayam East,Puthuppally,Puthuppally,Puthuppally Gramapanchayath
Kottayam West,Kottayam,Panachikadu,Panachikadu Gramapanchayath
Kottayam East,Changanassery,Madappally,Kurichy Gramapanchayath
Kottayam East,Poonjar,Mundakkayam,Parathodu Gramapanchayath
Kottayam East,Poonjar,Mundakkayam,Koruthode Gramapanchayath
Kottayam East,Poonjar,Mundakkayam,Mundakayam Gramapanchayath
Kottayam East,Poonjar,Mundakkayam,Koottickal Gramapanchayath
Kottayam East,Kanjirappally,Kanjirappally,Kanjirappally Grampanchayath
Kottayam East,Poonjar,Mundakkayam,Erumely
Kottayam East,Kanjirappally,Kanjirappally,Manimala Gramapanchayath
Kottayam East,Kanjirappally,Vazhoor,Karukachal Gramapanchayath
Kottayam East,Kanjirappally,Vazhoor,Vazhoor Grampanchayat
Kottayam East,Kanjirappally,Kanjirappally,Vellavoor Gramapanchayat
Ernakulam North,Perumbavoor,Kuruppampady,Mudakkuzha Gramapanchayath
Kottayam East,Kanjirappally,Vazhoor,Kangazha Gramapanchayath
Kottayam East,Kanjirappally,Kanjirappally,Chirakkadavu Gramapanchayath
Kottayam East,Changanassery,Madappally,Vazhapally gram panchayat
Kottayam East,Puthuppally,Puthuppally,Vakathanam Gramapanchayath
Kottayam East,Changanassery,Changanassery,Thrikkodithanam Gramapanchayath
Kottayam East,Changanassery,Changanassery,Paippadu Gramapanchayath
Kottayam East,Changanassery,Madappally,Madappally Gramapanchayath
Kottayam East,Puthuppally,Puthuppally,Meenadom Gramapanchayath
Kottayam West,Kaduthuruthy,Kaduthuruthy,Kidangoor Gramapanchayath
Kottayam East,Puthuppally,Ayarkunnam,Manarcadu Gramapanchayath
Kottayam East,Kanjirappally,Vazhoor,Pallickathodu Gramapanchayath
Kottayam East,Puthuppally,Puthuppally,Pampady Gramapanchayath
Kottayam East,Puthuppally,Ayarkunnam,Kooroppada Gramapanchayath
Kottayam West,Pala,Bharananganam,Elikkulam Gramapanchayath
Kottayam East,Puthuppally,Ayarkunnam,Akalakkunnam
Kottayam East,Poonjar,Poonjar,Thidanadu Gramapanchayath
Kottayam West,Pala,Bharananganam,Thalappalam Gramapanchayath
Kottayam West,Pala,Bharananganam,Thalanadu Gramapanchayath
