Zone,Org District,AC,Org Mandal,LBName,Target
Alappuzha,Kottayam West,Pala,Pala,Ramapuram Gramapanchayath,Opposition
Ernakulam,Thrissur South,Kodungallur,Mala,Kuzhur,Win
Alappuzha,Idukki South,Idukki,Kattappana,Mariyapuram Gramapanchayath,NA
Alappuzha,Idukki South,Idukki,Idukki,Vazhathope Gramapanchayath,NA
Alappuzha,Idukki South,Idukki,Kattappana,Kamakshy Gramapanchayath,NA
Ernakulam,Thrissur City,Puthukkad,Amballur,Varantharappilly,Win
Alappuzha,Idukki South,Idukki,Idukki,Vathikudy Gramapanchayath,NA
Alappuzha,Idukki South,Idukki,Idukki,Kanjikkuzhy Gramapanchayath,NA
Alappuzha,Idukki South,Idukki,Idukki,Kudayathoor Grampanchayat,NA
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Karimannoor Gramapanchayath,NA
Alappuzha,Kottayam West,Kaduthuruthy,Kuravilangadu,Veliyannoor Grampanchayath,Opposition
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Alakode Gramapanchayat,NA
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Kodikulam Gramapanchayath,NA
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Udumbannoor,NA
Alappuzha,Idukki North,Thodupuzha,Vannappuram,Vannappuram Gramapanchayath,NA
