Zone,Org District,AC,Org Mandal,LBName,Target
Thiruvananthapuram,Kollam East,Punaloor,Punalur,Karavaloor Gramapanchayath,NA
Thiruvananthapuram,Kollam East,Punaloor,Anchal,Edamulakkal Gramapanchayath,NA
Thiruvananthapuram,Kollam East,Pathanapuram,Pathanapuram,Pattazhi Vadakkekara Gramapanchayath,Win
Thiruvananthapuram,Kollam East,Chadayamangalam,Chithara,Alayaman Gramapanchayath,NA
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Pavithreswaram Gramapanchayath,Win
Thiruvananthapuram,Kollam East,Punaloor,Anchal,Kulathupuzha Gramapanchayath,NA
Ernakulam,Ernakulam City,Vypen,Cherayi,Pallippuram Gramapanchayath,Opposition
Thiruvananthapuram,Kollam East,Pathanapuram,Pathanapuram,Pathanapuram Gramapanchayath,NA
Kozhikode,Kannur South,Kuthuparamba,Kuthuparamba,Mokeri,Opposition
Thiruvananthapuram,Kollam East,Kottarakkara,Neduvathur,Kulakkada Gramapanchayath,Win
Thiruvananthapuram,Kollam East,Kottarakkara,Kottarakkara,Mylom Gramapanchayath,Win
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Vilakkudy Grama Panchayat,NA
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Kunnathoor Gramapanchayat,Win
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Poruvazhi Gramapanchayath,Win
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Sooranad South Grama Panchayat,Win
Thiruvananthapuram,Kollam East,Pathanapuram,Kunnikkodu,Vettikavala Gramapanchayath,NA
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,Mynagappally Grama Panchayat,NA
Thiruvananthapuram,Kollam East,Kunnathur,Kunnathur,Sooranad North Grama Panchayat,NA
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Alappad Grama Panchayat,Win
Thiruvananthapuram,Kollam West,Karunagappally,Karunagappally,Clappana Gramapanchayat,Win
Thiruvananthapuram,Kollam West,Karunagappally,Oachira,Thazhava Grama Panchayat,Win
