Zones,Panchayat,,,Municipality,,,Corporation,,
,Total,Target Win,Target Opposition,Total,Target Win,Target Opposition,Total,Target Win,Target Opposition
Thiruvananthapuram,194,108,18,12,7,2,2,1,1
Alappuzha,195,69,22,15,7,2,0,0,0
Ernakulam,168,45,3,21,6,3,2,1,0
Palakkad,205,26,20,22,4,0,0,0,0
Kozhikode,179,19,4,19,1,2,2,0,0
Total,941,267,66,86,26,9,6,2,1
